start_id,relation,end_name
Manfred Eigen,MEMBER_OF,German Academy of Sciences at Berlin
Manfred Eigen,MEMBER_OF,Royal Society
Manfred Eigen,MEMBER_OF,Russian Academy of Sciences
Manfred Eigen,MEMBER_OF,French Academy of Sciences
Manfred Eigen,MEMBER_OF,Berlin-Brandenburg Academy of Sciences and Humanities
Manfred Eigen,MEMBER_OF,National Academy of Sciences
Manfred Eigen,MEMBER_OF,Austrian Academy of Sciences
Manfred Eigen,MEMBER_OF,Hungarian Academy of Sciences
Manfred Eigen,MEMBER_OF,Academia Europaea
Manfred Eigen,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Manfred Eigen,MEMBER_OF,German Academy of Sciences Leopoldina
Manfred Eigen,MEMBER_OF,American Academy of Arts and Sciences
Manfred Eigen,MEMBER_OF,Academy of Sciences of the USSR
Manfred Eigen,MEMBER_OF,European Molecular Biology Organization
Manfred Eigen,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Manfred Eigen,MEMBER_OF,Pontifical Academy of Sciences
Emil Fischer,RECEIVED,Q70554_1902
Q70554_1902,INSTANCE_OF,Nobel Prize in Chemistry
Emil Fischer,CITIZEN_OF,German Empire
Emil Fischer,OCCUPATION,chemist
Emil Fischer,OCCUPATION,university teacher
Emil Fischer,OCCUPATION,biochemist
Emil Fischer,FIELD_OF_WORK,chemistry
Emil Fischer,EDUCATED_AT,University of Bonn
Emil Fischer,EDUCATED_AT,University of Strasbourg
Emil Fischer,EMPLOYED_AT,University of Würzburg
Emil Fischer,EMPLOYED_AT,University of Strasbourg
Emil Fischer,EMPLOYED_AT,Humboldt-Universität zu Berlin
Emil Fischer,EMPLOYED_AT,Ludwig-Maximilians-Universität München
Emil Fischer,EMPLOYED_AT,Friedrich-Alexander-Universität Erlangen-Nürnberg
Emil Fischer,MEMBER_OF,Royal Society
Emil Fischer,MEMBER_OF,Russian Academy of Sciences
Emil Fischer,MEMBER_OF,Royal Swedish Academy of Sciences
Emil Fischer,MEMBER_OF,National Academy of Sciences
Emil Fischer,MEMBER_OF,Royal Prussian Academy of Sciences
Emil Fischer,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Emil Fischer,MEMBER_OF,Lincean Academy
Emil Fischer,MEMBER_OF,Académie Nationale de Médecine
Emil Fischer,MEMBER_OF,American Academy of Arts and Sciences
Emil Fischer,MEMBER_OF,Academy of Sciences of Turin
Emil Fischer,MEMBER_OF,Romanian Academy
Emil Fischer,MEMBER_OF,Royal Physiographic Society in Lund
Emil Fischer,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Emil Fischer,MEMBER_OF,Accademia Nazionale delle Scienze detta dei XL
Kurt Alder,RECEIVED,Q76595_1950
Q76595_1950,INSTANCE_OF,Nobel Prize in Chemistry
Kurt Alder,CITIZEN_OF,Germany
Kurt Alder,OCCUPATION,chemist
Kurt Alder,OCCUPATION,university teacher
Kurt Alder,FIELD_OF_WORK,chemistry
Kurt Alder,EDUCATED_AT,Humboldt-Universität zu Berlin
Kurt Alder,EDUCATED_AT,Kiel University
Kurt Alder,EMPLOYED_AT,Kiel University
Kurt Alder,EMPLOYED_AT,University of Cologne
Kurt Alder,MEMBER_OF,North Rhine-Westphalia Academy for Sciences and Arts
Kurt Alder,MEMBER_OF,German Academy of Sciences Leopoldina
Kurt Alder,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Paul Karrer,RECEIVED,Q73093_1937
Q73093_1937,INSTANCE_OF,Nobel Prize in Chemistry
Paul Karrer,CITIZEN_OF,Switzerland
Paul Karrer,OCCUPATION,chemist
Paul Karrer,OCCUPATION,university teacher
Paul Karrer,OCCUPATION,biochemist
Paul Karrer,FIELD_OF_WORK,organic chemistry
Paul Karrer,EDUCATED_AT,University of Zurich
Paul Karrer,EMPLOYED_AT,University of Zurich
Paul Karrer,MEMBER_OF,Royal Society
Paul Karrer,MEMBER_OF,French Academy of Sciences
Paul Karrer,MEMBER_OF,Royal Swedish Academy of Sciences
Paul Karrer,MEMBER_OF,National Academy of Sciences
Paul Karrer,MEMBER_OF,Académie Nationale de Médecine
Paul Karrer,MEMBER_OF,German Academy of Sciences Leopoldina
Paul Karrer,MEMBER_OF,Academy of Sciences of Turin
Paul Karrer,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Paul Karrer,MEMBER_OF,Accademia Nazionale delle Scienze detta dei XL
Hans Fischer,RECEIVED,Q76604_1930
Q76604_1930,INSTANCE_OF,Nobel Prize in Chemistry
Hans Fischer,CITIZEN_OF,Germany
Hans Fischer,CITIZEN_OF,Nazi Germany
Hans Fischer,CITIZEN_OF,Weimar Republic
Hans Fischer,CITIZEN_OF,German Empire
Hans Fischer,OCCUPATION,internist
Hans Fischer,OCCUPATION,biochemist
Hans Fischer,OCCUPATION,university teacher
Hans Fischer,OCCUPATION,chemist
Hans Fischer,OCCUPATION,physician
Hans Fischer,FIELD_OF_WORK,biochemistry
Hans Fischer,FIELD_OF_WORK,internal medicine
Hans Fischer,FIELD_OF_WORK,medicine
Hans Fischer,FIELD_OF_WORK,organic chemistry
Hans Fischer,FIELD_OF_WORK,clinical chemistry
Hans Fischer,EDUCATED_AT,University of Lausanne
Hans Fischer,EDUCATED_AT,Technical University of Munich
Hans Fischer,EDUCATED_AT,University of Marburg
Hans Fischer,EDUCATED_AT,Ludwig-Maximilians-Universität München
Hans Fischer,EMPLOYED_AT,University of Vienna
Hans Fischer,EMPLOYED_AT,Technical University of Munich
Hans Fischer,EMPLOYED_AT,University of Innsbruck
Hans Fischer,MEMBER_OF,Royal Prussian Academy of Sciences
Hans Fischer,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Hans Fischer,MEMBER_OF,German Academy of Sciences Leopoldina
Hans Fischer,MEMBER_OF,Burschenschaft Alemannia Marburg
Hans Fischer,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Heinrich Wieland,RECEIVED,Q76610_1927
Q76610_1927,INSTANCE_OF,Nobel Prize in Chemistry
Heinrich Wieland,CITIZEN_OF,Nazi Germany
Heinrich Wieland,CITIZEN_OF,Weimar Republic
Heinrich Wieland,CITIZEN_OF,German Empire
Heinrich Wieland,CITIZEN_OF,West Germany
Heinrich Wieland,OCCUPATION,university teacher
Heinrich Wieland,OCCUPATION,chemist
Heinrich Wieland,FIELD_OF_WORK,biochemistry
Heinrich Wieland,FIELD_OF_WORK,organic chemistry
Heinrich Wieland,EDUCATED_AT,Ludwig-Maximilians-Universität München
Heinrich Wieland,EMPLOYED_AT,Ludwig-Maximilians-Universität München
Heinrich Wieland,EMPLOYED_AT,University of Freiburg
Heinrich Wieland,EMPLOYED_AT,Technical University of Munich
Heinrich Wieland,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Heinrich Wieland,MEMBER_OF,Academy of Sciences of the USSR
Heinrich Wieland,MEMBER_OF,Heidelberg Academy for Sciences and Humanities
Heinrich Wieland,MEMBER_OF,American Academy of Arts and Sciences
Heinrich Wieland,MEMBER_OF,German Academy of Sciences Leopoldina
Heinrich Wieland,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Heinrich Wieland,MEMBER_OF,Royal Prussian Academy of Sciences
Heinrich Wieland,MEMBER_OF,National Academy of Sciences
Heinrich Wieland,MEMBER_OF,Russian Academy of Sciences
Heinrich Wieland,MEMBER_OF,Royal Society
Friedrich Bergius,RECEIVED,Q76614_1931
Q76614_1931,INSTANCE_OF,Nobel Prize in Chemistry
Friedrich Bergius,CITIZEN_OF,Germany
Friedrich Bergius,OCCUPATION,university teacher
Friedrich Bergius,OCCUPATION,chemist
Friedrich Bergius,FIELD_OF_WORK,chemistry
Friedrich Bergius,EDUCATED_AT,University of Wrocław
Friedrich Bergius,EDUCATED_AT,Leipzig University
Friedrich Bergius,EMPLOYED_AT,Leibniz University Hannover
Friedrich Bergius,MEMBER_OF,Heidelberg Academy for Sciences and Humanities
Johann Deisenhofer,RECEIVED,Q76612_1988
Q76612_1988,INSTANCE_OF,Nobel Prize in Chemistry
Johann Deisenhofer,CITIZEN_OF,United States
Johann Deisenhofer,CITIZEN_OF,Germany
Johann Deisenhofer,OCCUPATION,biophysicist
Johann Deisenhofer,OCCUPATION,biochemist
Johann Deisenhofer,OCCUPATION,university teacher
Johann Deisenhofer,OCCUPATION,chemist
Johann Deisenhofer,OCCUPATION,physicist
Johann Deisenhofer,FIELD_OF_WORK,biochemistry
Johann Deisenhofer,EDUCATED_AT,Technical University of Munich
Johann Deisenhofer,EMPLOYED_AT,Technical University of Munich
Johann Deisenhofer,EMPLOYED_AT,Howard Hughes Medical Institute
Johann Deisenhofer,EMPLOYED_AT,University of Texas Southwestern Medical Center
Johann Deisenhofer,MEMBER_OF,German Academy of Sciences Leopoldina
Johann Deisenhofer,MEMBER_OF,Academia Europaea
Johann Deisenhofer,MEMBER_OF,National Academy of Sciences
Johann Deisenhofer,MEMBER_OF,American Association for the Advancement of Science
Hans von Euler-Chelpin,RECEIVED,Q76613_1929
Q76613_1929,INSTANCE_OF,Nobel Prize in Chemistry
Hans von Euler-Chelpin,CITIZEN_OF,Sweden
Hans von Euler-Chelpin,CITIZEN_OF,Germany
Hans von Euler-Chelpin,OCCUPATION,biochemist
Hans von Euler-Chelpin,OCCUPATION,university teacher
Hans von Euler-Chelpin,OCCUPATION,chemist
Hans von Euler-Chelpin,OCCUPATION,military personnel
Hans von Euler-Chelpin,FIELD_OF_WORK,chemistry
Hans von Euler-Chelpin,EDUCATED_AT,University of Würzburg
Hans von Euler-Chelpin,EDUCATED_AT,Humboldt-Universität zu Berlin
Hans von Euler-Chelpin,EMPLOYED_AT,Stockholm University
Hans von Euler-Chelpin,MEMBER_OF,Royal Swedish Academy of Engineering Sciences
Hans von Euler-Chelpin,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Hans von Euler-Chelpin,MEMBER_OF,Japan Academy
Hans von Euler-Chelpin,MEMBER_OF,Finnish Academy of Science and Letters
Hans von Euler-Chelpin,MEMBER_OF,Academy of Sciences of the USSR
Hans von Euler-Chelpin,MEMBER_OF,German Academy of Sciences Leopoldina
Hans von Euler-Chelpin,MEMBER_OF,Lincean Academy
Hans von Euler-Chelpin,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Hans von Euler-Chelpin,MEMBER_OF,Royal Prussian Academy of Sciences
Hans von Euler-Chelpin,MEMBER_OF,Royal Swedish Academy of Sciences
Hans von Euler-Chelpin,MEMBER_OF,French Academy of Sciences
Hans von Euler-Chelpin,MEMBER_OF,Russian Academy of Sciences
Hans von Euler-Chelpin,MEMBER_OF,German Academy of Sciences at Berlin
Otto Diels,RECEIVED,Q76616_1950
Q76616_1950,INSTANCE_OF,Nobel Prize in Chemistry
Otto Diels,CITIZEN_OF,Germany
Otto Diels,OCCUPATION,university teacher
Otto Diels,OCCUPATION,chemist
Otto Diels,FIELD_OF_WORK,chemistry
Otto Diels,EDUCATED_AT,Humboldt-Universität zu Berlin
Otto Diels,EMPLOYED_AT,Humboldt-Universität zu Berlin
Otto Diels,EMPLOYED_AT,Kiel University
Otto Diels,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Otto Diels,MEMBER_OF,German Academy of Sciences Leopoldina
Otto Diels,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Robert Huber,RECEIVED,Q76623_1988
Q76623_1988,INSTANCE_OF,Nobel Prize in Chemistry
Robert Huber,CITIZEN_OF,Germany
Robert Huber,OCCUPATION,biochemist
Robert Huber,OCCUPATION,university teacher
Robert Huber,OCCUPATION,chemist
Robert Huber,FIELD_OF_WORK,biochemistry
Robert Huber,EDUCATED_AT,Technical University of Munich
Robert Huber,EMPLOYED_AT,Technical University of Munich
Robert Huber,EMPLOYED_AT,University of Duisburg-Essen
Robert Huber,EMPLOYED_AT,Cardiff University
Robert Huber,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Robert Huber,MEMBER_OF,Indian National Science Academy
Robert Huber,MEMBER_OF,German Academy of Sciences Leopoldina
Robert Huber,MEMBER_OF,Lincean Academy
Robert Huber,MEMBER_OF,Academia Europaea
Robert Huber,MEMBER_OF,National Academy of Sciences
Robert Huber,MEMBER_OF,Royal Society
Robert Huber,MEMBER_OF,European Academy of Sciences and Arts
Karl Ziegler,RECEIVED,Q76624_1963
Q76624_1963,INSTANCE_OF,Nobel Prize in Chemistry
Karl Ziegler,CITIZEN_OF,Germany
Karl Ziegler,OCCUPATION,university teacher
Karl Ziegler,OCCUPATION,chemist
Karl Ziegler,OCCUPATION,engineer
Karl Ziegler,FIELD_OF_WORK,inorganic chemistry
Karl Ziegler,EDUCATED_AT,RWTH Aachen University
Karl Ziegler,EDUCATED_AT,University of Marburg
Karl Ziegler,EMPLOYED_AT,Martin Luther University Halle-Wittenberg
Karl Ziegler,EMPLOYED_AT,Goethe University Frankfurt
Karl Ziegler,EMPLOYED_AT,Heidelberg University
Karl Ziegler,EMPLOYED_AT,University of Marburg
Karl Ziegler,EMPLOYED_AT,RWTH Aachen University
Karl Ziegler,EMPLOYED_AT,Max Planck Institute for Coal Research
Karl Ziegler,MEMBER_OF,German Academy of Sciences Leopoldina
Karl Ziegler,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Karl Ziegler,MEMBER_OF,North Rhine-Westphalia Academy for Sciences and Arts
Karl Ziegler,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Karl Ziegler,MEMBER_OF,Royal Society of Edinburgh
Karl Ziegler,MEMBER_OF,Royal Society
George de Hevesy,RECEIVED,Q76951_1943
Q76951_1943,INSTANCE_OF,Nobel Prize in Chemistry
George de Hevesy,CITIZEN_OF,Hungary
George de Hevesy,CITIZEN_OF,Sweden
George de Hevesy,OCCUPATION,university teacher
George de Hevesy,OCCUPATION,chemist
George de Hevesy,FIELD_OF_WORK,chemistry
George de Hevesy,EDUCATED_AT,Piarist Gymnasium of Budapest
George de Hevesy,EDUCATED_AT,Eötvös Loránd University
George de Hevesy,EDUCATED_AT,University of Freiburg
George de Hevesy,EDUCATED_AT,Technische Universität Berlin
George de Hevesy,EMPLOYED_AT,ETH Zurich
George de Hevesy,EMPLOYED_AT,University of Freiburg
George de Hevesy,EMPLOYED_AT,University of Copenhagen
George de Hevesy,EMPLOYED_AT,Eötvös Loránd University
George de Hevesy,EMPLOYED_AT,University of Copenhagen Niels Bohr Institute
George de Hevesy,EMPLOYED_AT,Stockholm University
George de Hevesy,EMPLOYED_AT,University of Manchester
George de Hevesy,MEMBER_OF,Polish Academy of Learning
George de Hevesy,MEMBER_OF,Pontifical Academy of Sciences
George de Hevesy,MEMBER_OF,Heidelberg Academy for Sciences and Humanities
George de Hevesy,MEMBER_OF,German Academy of Sciences Leopoldina
George de Hevesy,MEMBER_OF,American Academy of Arts and Sciences
George de Hevesy,MEMBER_OF,Hungarian Academy of Sciences
George de Hevesy,MEMBER_OF,Royal Swedish Academy of Sciences
George de Hevesy,MEMBER_OF,Royal Society
Richard Willstätter,RECEIVED,Q77072_1915
Q77072_1915,INSTANCE_OF,Nobel Prize in Chemistry
Richard Willstätter,CITIZEN_OF,Nazi Germany
Richard Willstätter,CITIZEN_OF,Weimar Republic
Richard Willstätter,CITIZEN_OF,German Empire
Richard Willstätter,OCCUPATION,university teacher
Richard Willstätter,OCCUPATION,chemist
Richard Willstätter,FIELD_OF_WORK,physical chemistry
Richard Willstätter,EDUCATED_AT,Ludwig-Maximilians-Universität München
Richard Willstätter,EMPLOYED_AT,ETH Zurich
Richard Willstätter,EMPLOYED_AT,Ludwig-Maximilians-Universität München
Richard Willstätter,EMPLOYED_AT,Humboldt-Universität zu Berlin
Richard Willstätter,EMPLOYED_AT,University of Zurich
Richard Willstätter,EMPLOYED_AT,Kaiser Wilhelm Society
Richard Willstätter,MEMBER_OF,Academy of Sciences of Turin
Richard Willstätter,MEMBER_OF,German Academy of Sciences Leopoldina
Richard Willstätter,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Richard Willstätter,MEMBER_OF,American Academy of Arts and Sciences
Richard Willstätter,MEMBER_OF,Lincean Academy
Richard Willstätter,MEMBER_OF,Austrian Academy of Sciences
Richard Willstätter,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Richard Willstätter,MEMBER_OF,National Academy of Sciences
Richard Willstätter,MEMBER_OF,Royal Prussian Academy of Sciences
Richard Willstätter,MEMBER_OF,Royal Swedish Academy of Sciences
Richard Willstätter,MEMBER_OF,Royal Society
Richard Willstätter,MEMBER_OF,Russian Academy of Sciences
Hartmut Michel,RECEIVED,Q77086_1988
Q77086_1988,INSTANCE_OF,Nobel Prize in Chemistry
Hartmut Michel,CITIZEN_OF,Germany
Hartmut Michel,CITIZEN_OF,West Germany
Hartmut Michel,OCCUPATION,biochemist
Hartmut Michel,OCCUPATION,chemist
Hartmut Michel,FIELD_OF_WORK,biochemistry
Hartmut Michel,EDUCATED_AT,University of Würzburg
Hartmut Michel,EDUCATED_AT,University of Tübingen
Hartmut Michel,EMPLOYED_AT,Goethe University Frankfurt
Hartmut Michel,EMPLOYED_AT,University of Tübingen
Hartmut Michel,EMPLOYED_AT,Max Planck Institute for Biophysics
Hartmut Michel,EMPLOYED_AT,Max Planck Institute of Biochemistry
Hartmut Michel,MEMBER_OF,European Molecular Biology Organization
Hartmut Michel,MEMBER_OF,German Academy of Sciences Leopoldina
Hartmut Michel,MEMBER_OF,Chinese Academy of Sciences
Hartmut Michel,MEMBER_OF,Academia Europaea
Hartmut Michel,MEMBER_OF,North Rhine-Westphalia Academy for Sciences and Arts
Hartmut Michel,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Hartmut Michel,MEMBER_OF,National Academy of Sciences
Hartmut Michel,MEMBER_OF,Berlin-Brandenburg Academy of Sciences and Humanities
Hartmut Michel,MEMBER_OF,Royal Netherlands Academy of Arts and Sciences
Hartmut Michel,MEMBER_OF,Royal Society
Adolf Windaus,RECEIVED,Q77142_1928
Q77142_1928,INSTANCE_OF,Nobel Prize in Chemistry
Adolf Windaus,CITIZEN_OF,Germany
Adolf Windaus,OCCUPATION,university teacher
Adolf Windaus,OCCUPATION,chemist
Adolf Windaus,FIELD_OF_WORK,organic chemistry
Adolf Windaus,EDUCATED_AT,Französisches Gymnasium Berlin
Adolf Windaus,EDUCATED_AT,University of Freiburg
Adolf Windaus,EDUCATED_AT,Humboldt-Universität zu Berlin
Adolf Windaus,EMPLOYED_AT,University of Göttingen
Adolf Windaus,EMPLOYED_AT,University of Freiburg
Adolf Windaus,EMPLOYED_AT,University of Innsbruck
Adolf Windaus,MEMBER_OF,German Academy of Sciences Leopoldina
Adolf Windaus,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Adolf Windaus,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Adolf Windaus,MEMBER_OF,Royal Prussian Academy of Sciences
Georg Wittig,RECEIVED,Q77171_1979
Q77171_1979,INSTANCE_OF,Nobel Prize in Chemistry
Georg Wittig,CITIZEN_OF,Germany
Georg Wittig,OCCUPATION,university teacher
Georg Wittig,OCCUPATION,chemist
Georg Wittig,OCCUPATION,mathematician
Georg Wittig,FIELD_OF_WORK,mathematics
Georg Wittig,FIELD_OF_WORK,chemistry
Georg Wittig,EDUCATED_AT,University of Marburg
Georg Wittig,EDUCATED_AT,University of Tübingen
Georg Wittig,EMPLOYED_AT,Heidelberg University
Georg Wittig,EMPLOYED_AT,University of Tübingen
Georg Wittig,EMPLOYED_AT,University of Freiburg
Georg Wittig,EMPLOYED_AT,University of Marburg
Georg Wittig,EMPLOYED_AT,TU Braunschweig
Georg Wittig,MEMBER_OF,Heidelberg Academy for Sciences and Humanities
Georg Wittig,MEMBER_OF,German Academy of Sciences Leopoldina
Georg Wittig,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Georg Wittig,MEMBER_OF,Sturmabteilung
Georg Wittig,MEMBER_OF,French Academy of Sciences
Max Perutz,RECEIVED,Q78480_1962
Q78480_1962,INSTANCE_OF,Nobel Prize in Chemistry
Max Perutz,CITIZEN_OF,United Kingdom of Great Britain and Ireland
Max Perutz,CITIZEN_OF,Austria
Max Perutz,CITIZEN_OF,United Kingdom
Max Perutz,OCCUPATION,biophysicist
Max Perutz,OCCUPATION,molecular biologist
Max Perutz,OCCUPATION,biochemist
Max Perutz,OCCUPATION,biologist
Max Perutz,OCCUPATION,university teacher
Max Perutz,OCCUPATION,chemist
Max Perutz,OCCUPATION,crystallographer
Max Perutz,FIELD_OF_WORK,molecular biology
Max Perutz,FIELD_OF_WORK,chemistry
Max Perutz,FIELD_OF_WORK,biochemistry
Max Perutz,EDUCATED_AT,University of Cambridge
Max Perutz,EDUCATED_AT,Peterhouse
Max Perutz,EDUCATED_AT,Theresianum
Max Perutz,EDUCATED_AT,University of Vienna
Max Perutz,EMPLOYED_AT,University of York
Max Perutz,EMPLOYED_AT,University of Cambridge
Max Perutz,MEMBER_OF,Royal Netherlands Academy of Arts and Sciences
Max Perutz,MEMBER_OF,German Academy of Sciences at Berlin
Max Perutz,MEMBER_OF,Royal Society
Max Perutz,MEMBER_OF,French Academy of Sciences
Max Perutz,MEMBER_OF,National Academy of Sciences
Max Perutz,MEMBER_OF,American Academy of Arts and Sciences
Max Perutz,MEMBER_OF,Bavarian Academy of Sciences and Humanities
Max Perutz,MEMBER_OF,German Academy of Sciences Leopoldina
Max Perutz,MEMBER_OF,Pontifical Academy of Sciences
Max Perutz,MEMBER_OF,Accademia Nazionale delle Scienze detta dei XL
Max Perutz,MEMBER_OF,European Molecular Biology Organization
Richard Adolf Zsigmondy,RECEIVED,Q78481_1925
Q78481_1925,INSTANCE_OF,Nobel Prize in Chemistry
Richard Adolf Zsigmondy,CITIZEN_OF,Austria
Richard Adolf Zsigmondy,OCCUPATION,chemist
Richard Adolf Zsigmondy,OCCUPATION,inventor
Richard Adolf Zsigmondy,OCCUPATION,physicist
Richard Adolf Zsigmondy,OCCUPATION,professor
Richard Adolf Zsigmondy,FIELD_OF_WORK,interface and colloid science
Richard Adolf Zsigmondy,EDUCATED_AT,TU Wien
Richard Adolf Zsigmondy,EDUCATED_AT,University of Vienna
Richard Adolf Zsigmondy,EDUCATED_AT,Ludwig-Maximilians-Universität München
Richard Adolf Zsigmondy,EMPLOYED_AT,Humboldt-Universität zu Berlin
Richard Adolf Zsigmondy,EMPLOYED_AT,University of Göttingen
Richard Adolf Zsigmondy,EMPLOYED_AT,University of Graz
Richard Adolf Zsigmondy,MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Fritz Pregl,RECEIVED,Q78482_1923
Q78482_1923,INSTANCE_OF,Nobel Prize in Chemistry
Fritz Pregl,CITIZEN_OF,Austria
Fritz Pregl,CITIZEN_OF,Kingdom of Yugoslavia
Fritz Pregl,CITIZEN_OF,Cisleithania
Fritz Pregl,CITIZEN_OF,Kingdom of Serbs
Fritz Pregl,CITIZEN_OF,Croats and Slovenes
Fritz Pregl,OCCUPATION,chemist
Fritz Pregl,OCCUPATION,physicist
Fritz Pregl,OCCUPATION,professor
Fritz Pregl,OCCUPATION,pharmacist
Fritz Pregl,OCCUPATION,physician
Fritz Pregl,FIELD_OF_WORK,chemistry
Fritz Pregl,FIELD_OF_WORK,medicine
Fritz Pregl,EDUCATED_AT,University of Graz
Fritz Pregl,EMPLOYED_AT,University of Graz
Fritz Pregl,EMPLOYED_AT,University of Innsbruck
Fritz Pregl,MEMBER_OF,Austrian Academy of Sciences
Richard Kuhn,RECEIVED,Q78483_1938
Q78483_1938,INSTANCE_OF,Nobel Prize in Chemistry
Richard Kuhn,CITIZEN_OF,Nazi Germany
Richard Kuhn,CITIZEN_OF,Cisleithania
Richard Kuhn,CITIZEN_OF,West Germany
Richard Kuhn,OCCUPATION,biochemist
Richard Kuhn,OCCUPATION,university teacher
Richard Kuhn,OCCUPATION,chemist
Richard Kuhn,FIELD_OF_WORK,chemistry
Richard Kuhn,FIELD_OF_WORK,biochemistry
Richard Kuhn,EDUCATED_AT,University of Vienna
Richard Kuhn,EDUCATED_AT,Ludwig-Maximilians-Universität München
