motivation,name,year
for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,Q110957_2002,2002
for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,Q110963_2002,2002
"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",Q111190_1995,1995
for the development of metal–organic frameworks,Q11401680_2025,2025
for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,Q122272_1991,1991
for his work on polymethylenes and higher terpenes,Q122996_1939,1939
in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,Q123014_1913,1913
in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,Q12658_1909,1909
for the development of super-resolved fluorescence microscopy,Q1351105_2014,2014
"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",Q135139_1995,1995
for their development and use of molecules with structure-specific interactions of high selectivity,Q135151_1987,1987
for his work on the stereochemistry of enzyme-catalyzed reactions,Q135154_1975,1975
for his development of the theory and methodology of organic synthesis,Q135171_1990,1990
for their discovery of catalytic properties of RNA,Q135180_1989,1989
for the development of super-resolved fluorescence microscopy,Q1387059_2014,2014
in recognition of their synthesis of new radioactive elements,Q150989_1935,1935
for mechanistic studies of DNA repair,Q15118973_2015,2015
"for his work on the structure of proteins, especially that of insulin",Q151564_1958,1958
for their contributions concerning the determination of base sequences in nucleic acids,Q151564_1980,1980
for the discovery and synthesis of quantum dots,Q15433043_2023,2023
for the phage display of peptides and antibodies.,Q1545000_2018,2018
for the discovery and synthesis of quantum dots,Q1547368_2023,2023
for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,Q156492_1972,1972
for their work on chirally catalysed hydrogenation reactions,Q157210_2001,2001
for their contributions to the development of the concept of conformation and its application in chemistry,Q157212_1969,1969
for his invention of the polymerase chain reaction (PCR) method,Q157224_1993,1993
"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",Q157239_1945,1945
for his work on nucleotides and nucleotide co-enzymes,Q157242_1957,1957
for their discovery of fullerenes,Q157250_1996,1996
for his discovery and development of the polarographic methods of analysis,Q157701_1959,1959
for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Q1678456_2017,2017
"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase",Q1687170_1997,1997
for his studies of the molecular basis of eukaryotic transcription,Q170676_2006,2006
for the development of a method for genome editing,Q17280087_2020,2020
"for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules",Q176351_1974,1974
for his discovery of heavy hydrogen,Q179777_1934,1934
"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures",Q183509_1977,1977
for his discoveries and investigations in surface chemistry,Q184286_1932,1932
for his work on disperse systems,Q186391_1926,1926
for mechanistic studies of DNA repair,Q1886068_2015,2015
in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,Q189465_1914,1914
for their investigations on the fermentation of sugar and fermentative enzymes,Q189803_1929,1929
for their discoveries in the chemistry of the transuranium elements,Q19009_1951,1951
"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",Q19045_1995,1995
"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science",Q190486_1960,1960
for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes.,Q190626_1982,1982
for his contribution to carbocation chemistry,Q192603_1994,1994
for the discovery and synthesis of quantum dots,Q194646_2023,2023
"for the discovery and development of the green fluorescent protein, GFP",Q200470_2008,2008
for the development of the metathesis method in organic synthesis,Q202140_2005,2005
for the development of the metathesis method in organic synthesis,Q202146_2005,2005
for the development of the metathesis method in organic synthesis,Q202159_2005,2005
for his investigations on carbohydrates and vitamin C,Q204600_1937,1937
"for the discovery and development of the green fluorescent protein, GFP",Q205345_2008,2008
for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory,Q207992_1978,1978
for structural and mechanistic studies of ion channels,Q211482_2003,2003
for their contributions concerning the determination of base sequences in nucleic acids,Q217486_1980,1980
"for their theories, developed independently, concerning the course of chemical reactions",Q217734_1981,1981
for his development of methodology for chemical synthesis on a solid matrix,Q224153_1984,1984
for the discovery of ubiquitin-mediated protein degradation,Q230652_2004,2004
“for the development of metal-organic frameworks”,Q23073819_2025,2025
"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies",Q232289_1993,1993
for their studies of the structures of globular proteins,Q232295_1962,1962
for the discovery of ubiquitin-mediated protein degradation,Q232302_2004,2004
for his outstanding achievements in the art of organic synthesis,Q232316_1965,1965
"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",Q233026_1948,1948
for the discovery of ubiquitin-mediated protein degradation,Q233205_2004,2004
for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method,Q233355_1966,1966
for his development of computational methods in quantum chemistry,Q233973_1998,1998
for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates,Q233985_1970,1970
for their discoveries in the field of the chemistry and technology of high polymers,Q234145_1963,1963
for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),Q235184_1997,1997
"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",Q235834_1967,1967
"for his work on the mechanisms of electron transfer reactions, especially in metal complexes",Q235983_1983,1983
for their contributions concerning the dynamics of chemical elementary processes,Q237825_1986,1986
for his contributions to the theory of electron transfer reactions in chemical systems,Q239067_1992,1992
for their contributions concerning the dynamics of chemical elementary processes,Q243190_1986,1986
for their contributions concerning the dynamics of chemical elementary processes,Q243196_1986,1986
for their development and use of molecules with structure-specific interactions of high selectivity,Q244998_1987,1987
"for their theories, developed independently, concerning the course of chemical reactions",Q273279_1981,1981
"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",Q274128_1973,1973
for the development of lithium-ion batteries,Q285062_2019,2019
for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Q28833112_2017,2017
For protein structure prediction,Q3022141_2024,2024
for the design and synthesis of molecular machines,Q3169751_2016,2016
for the design and synthesis of molecular machines,Q3259614_2016,2016
"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone",Q33128_1955,1955
for the design and synthesis of molecular machines,Q376243_2016,2016
for computational protein design,Q3814528_2024,2024
for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Q41585344_2017,2017
for the directed evolution of enzymes,Q4273363_2018,2018
for his biochemical researches and his discovery of cell-free fermentation,Q43917_1907,1907
for the discovery of quasicrystals,Q44111_2011,2011
"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",Q44594_1973,1973
for the development of lithium-ion batteries,Q4701206_2019,2019
for the development of multiscale models for complex chemical systems,Q4790366_2013,2013
for his discoveries in the field of macromolecular chemistry,Q48956_1953,1953
for their discoveries in the chemistry of the transuranium elements,Q48973_1951,1951
for their invention of partition chromatography,Q48977_1952,1952
for their invention of partition chromatography,Q48979_1952,1952
for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,Q48983_1954,1954
for their researches into the mechanism of chemical reactions,Q48986_1956,1956
for their researches into the mechanism of chemical reactions,Q48990_1956,1956
for his research on the carbon dioxide assimilation in plants,Q49347_1961,1961
"for his investigations on plant products of biological importance, especially the alkaloids",Q49351_1947,1947
for the development of asymmetric organocatalysis,Q5237001_2021,2021
for his work on sex hormones,Q5327_1939,1939
for the development of a method for genome editing,Q56068_2020,2020
for the phage display of peptides and antibodies,Q56868017_2018,2018
for his discovery of the fission of heavy nuclei,Q57065_1944,1944
for the synthesis of ammonia from its elements,Q57075_1918,1918
"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",Q57078_1905,1905
in recognition of his work in thermochemistry,Q57125_1920,1920
in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,Q57127_1910,1910
for studies of the structure and function of the ribosome,Q60061_2009,2009
for his studies of chemical processes on solid surfaces,Q60066_2007,2007
for the development of multiscale models for complex chemical systems,Q6832227_2013,2013
for the development of click chemistry and bioorthogonal chemistry,Q6914509_2022,2022
in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses.,Q70554_1902,1902
for mechanistic studies of DNA repair,Q7151888_2015,2015
"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element.",Q7186_1911,1911
"for his investigations on carotenoids, flavins and vitamins A and B2",Q73093_1937,1937
for studies of the structure and function of the ribosome,Q7426_2009,2009
“for the development of metal-organic frameworks”,Q743252_2025,2025
for the development of click chemistry and bioorthogonal chemistry,Q7442_2022,2022
for her determinations by X-ray techniques of the structures of important biochemical substances,Q7487_1964,1964
in recognition of their synthesis of new radioactive elements,Q7504_1936,1936
for their discovery and development of the diene synthesis,Q76595_1950,1950
"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",Q76600_1967,1967
"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals",Q76602_1971,1971
for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin,Q76604_1930,1930
in recognition of their contributions to the invention and development of chemical high pressure methods,Q76606_1931,1931
for his investigations of the constitution of the bile acids and related substances,Q76610_1927,1927
for the determination of the three-dimensional structure of a photosynthetic reaction centre,Q76612_1988,1988
for their investigations on the fermentation of sugar and fermentative enzymes,Q76613_1929,1929
in recognition of their contributions to the invention and development of chemical high pressure methods,Q76614_1931,1931
for their discovery and development of the diene synthesis,Q76616_1950,1950
for the determination of the three-dimensional structure of a photosynthetic reaction centre,Q76623_1988,1988
for their discoveries in the field of the chemistry and technology of high polymers,Q76624_1963,1963
for his work on the use of isotopes as tracers in the study of chemical processes,Q76951_1943,1943
"for his researches on plant pigments, especially chlorophyll",Q77072_1915,1915
for the determination of the three-dimensional structure of a photosynthetic reaction centre,Q77086_1988,1988
for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,Q77142_1928,1928
"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",Q77171_1979,1979
for their studies of the structures of globular proteins,Q78480_1962,1962
"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry",Q78481_1925,1925
for his invention of the method of micro-analysis of organic substances,Q78482_1923,1923
for his work on carotenoids and vitamins,Q78483_1938,1938
for his development of the density-functional theory,Q78510_1998,1998
for studies of G-protein-coupled receptors,Q80907_2012,2012
for studies of G-protein-coupled receptors,Q80910_2012,2012
in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation.,Q80956_1903,1903
for his research into the stereochemistry of organic molecules and reactions,Q83501_1975,1975
For protein structure prediction,Q89620738_2024,2024
for the development of multiscale models for complex chemical systems,Q903471_2013,2013
for the development of lithium-ion batteries,Q906529_2019,2019
"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",Q9123_1908,1908
for the development of super-resolved fluorescence microscopy,Q91410_2014,2014
"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",Q950726_1904,1904
for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science,Q102454_1970,1970
for his pioneering contributions to the theory of markets and efficient utilization of resources,Q105962_1988,1988
"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy",Q107264_1995,1995
for their contributions to the theory of optimum allocation of resources,Q107441_1975,1975
for their empirical research on cause and effect in the macroeconomy,Q107964_2011,2011
for their analysis of markets with search frictions,Q109570_2010,2010
for their analysis of markets with search frictions,Q109582_2010,2010
for their analysis of markets with search frictions,Q109721_2010,2010
for their empirical research on cause and effect in the macroeconomy,Q109737_2011,2011
for having advanced our understanding of women’s labour market outcomes,Q1097475_2023,2023
for their contributions to the theory of optimum allocation of resources,Q110968_1975,1975
for his empirical contributions to labour economics,Q1173928_2021,2021
for their pioneering analysis of equilibria in the theory of non-cooperative games,Q12830_1994,1994
for their pioneering analysis of equilibria in the theory of non-cooperative games,Q128736_1994,1994
for his analysis of trade patterns and location of economic activity,Q131112_2008,2008
for his contributions to welfare economics,Q132489_1998,1998
"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",Q1325_1974,1974
for improvements to auction theory and inventions of new auction formats,Q1359990_2020,2020
for their empirical analysis of asset prices,Q1386049_2013,2013
for studies of how institutions are formed and affect prosperity,Q1461050_2024,2024
"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",Q152452_1974,1974
"for her analysis of economic governance, especially the commons",Q153761_2009,2009
for having enhanced our understanding of conflict and cooperation through game-theory analysis,Q157235_2005,2005
for their analyses of markets with asymmetric information,Q157245_2001,2001
for their pioneering work in the theory of financial economics,Q157255_1990,1990
for having laid the foundations of mechanism design theory,Q157262_2007,2007
for his contributions to the theory of economic growth,Q157268_1987,1987
for their experimental approach to alleviating global poverty,Q1635006_2019,2019
for their methodological contributions to the analysis of causal relationships.,Q16730042_2021,2021
for his analysis of market power and regulation,Q173994_2014,2014
for their fundamental contributions to the economic theory of incentives under asymmetric information,Q176643_1996,1996
for their pathbreaking contribution to the theory of international trade and international capital movements,Q179493_1977,1977
for his pioneering research into the decision-making process within economic organizations,Q181529_1978,1978
for having developed and applied dynamic models for the analysis of economic processes,Q183181_1969,1969
for their analyses of markets with asymmetric information,Q18430_2001,2001
for their pioneering contributions to general economic equilibrium theory and welfare theory,Q184862_1972,1972
for research on banks and financial crises,Q185871_2022,2022
for having developed and applied dynamic models for the analysis of economic processes,Q187988_1969,1969
for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy,Q188113_1991,1991
"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour",Q191020_1992,1992
for his analysis of intertemporal tradeoffs in macroeconomic policy,Q192566_2006,2006
for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development,Q192577_1971,1971
for their pioneering contributions to general economic equilibrium theory and welfare theory,Q192592_1972,1972
for studies of how institutions are formed and affect prosperity,Q19520018_2024,2024
for research on banks and financial crises,Q201795_2022,2022
"for his analysis of consumption, poverty, and welfare",Q204078_2015,2015
for his development of the contractual and constitutional bases for the theory of economic and political decision-making,Q205353_1986,1986
for his pioneering analyses of saving and of financial markets,Q205850_1985,1985
for having enhanced our understanding of conflict and cooperation through game-theory analysis,Q206460_2005,2005
for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures,Q208124_1989,1989
for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,Q210960_1983,1983
for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,Q211097_2004,2004
"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices",Q211776_1981,1981
for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas,Q219721_1999,1999
for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis,Q219733_1984,1984
for their analyses of markets with asymmetric information,Q222541_2001,2001
"for his analysis of economic governance, especially the boundaries of the firm",Q232062_2009,2009
for having laid the foundations of mechanism design theory,Q232949_2007,2007
for having laid the foundations of mechanism design theory,Q233051_2007,2007
for their pioneering research into economic development research with particular consideration of the problems of developing countries,Q233947_1979,1979
"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty",Q233950_2002,2002
for their pathbreaking contribution to the theory of international trade and international capital movements,Q235843_1977,1977
for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,Q237821_1993,1993
for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,Q243193_1993,1993
"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",Q243534_1982,1982
for the theory of stable allocations and the practice of market design,Q244739_2012,2012
for research on banks and financial crises,Q24565948_2022,2022
for their pioneering work in the theory of financial economics,Q272508_1990,1990
for their pioneering analysis of equilibria in the theory of non-cooperative games,Q272510_1994,1994
for their pioneering research into economic development research with particular consideration of the problems of developing countries,Q272519_1979,1979
for their pioneering work in the theory of financial economics,Q274111_1990,1990
for the theory of stable allocations and the practice of market design,Q28542_2012,2012
for a new method to determine the value of derivatives,Q287542_1997,1997
,Q2899100_2025,2025
for a new method to determine the value of derivatives,Q295647_1997,1997
for methods of analyzing economic time series with time-varying volatility (ARCH),Q295653_2003,2003
for their fundamental contributions to the economic theory of incentives under asymmetric information,Q295673_1996,1996
"for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms",Q295717_2002,2002
for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,Q295761_1980,1980
for his development of theory and methods for analyzing discrete choice,Q312560_2000,2000
for his development of theory and methods for analyzing selective samples,Q312561_2000,2000
for methods of analyzing economic time series with common trends (cointegration),Q312575_2003,2003
for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,Q312585_2004,2004
"for their experimental approach to alleviating global poverty""",Q320578_2019,2019
for their empirical analysis of asset prices,Q338151_2013,2013
for their contributions to contract theory,Q354897_2016,2016
for their empirical analysis of asset prices,Q359317_2013,2013
for his contributions to behavioural economics,Q371212_2017,2017
,Q376364_2025,2025
for improvements to auction theory and inventions of new auction formats,Q377265_2020,2020
for their contributions to contract theory,Q432890_2016,2016
for their experimental approach to alleviating global poverty,Q434509_2019,2019
for the development of the input-output method and for its application to important economic problems,Q44061_1973,1973
"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy",Q47426_1976,1976
for integrating technological innovations into long-run macroeconomic analysis,Q509262_2018,2018
for integrating climate change into long-run macroeconomic analysis,Q562481_2018,2018
,Q7174757_2025,2025
for studies of how institutions are formed and affect prosperity,Q718581_2024,2024
for their methodological contributions to the analysis of causal relationships.,Q921499_2021,2021
"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",Q102483_1984,1984
"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",Q1153825_2022,2022
"for his great national epic, <I>The Peasants</I>",Q121180_1924,1924
"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters",Q123469_1930,1930
"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",Q127349_1904,1904
for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,Q129155_1937,1937
in recognition of his significance as the leading representative of a new era in our literature,Q129173_1916,1916
for an epic and psychological narrative art which has introduced a new continent into literature,Q129187_1973,1973
"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",Q131318_1956,1956
"for a narrative art, far-seeing in lands and ages, in the service of freedom",Q131326_1974,1974
"for his varied and rich poetry, which is inspired by lofty ideals",Q131487_1917,1917
who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,Q131549_1985,1985
"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",Q132589_1989,1989
for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,Q132684_1960,1960
for writings that catch the dewdrop and reflect the cosmos,Q132695_1974,1974
"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment",Q132701_1992,1992
for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,Q132723_1939,1939
for his profoundly characteristic narrative art with motifs from the life of the Jewish people,Q133042_1966,1966
The poetry of Erik Axel Karlfeldt,Q134641_1931,1931
"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars",Q134644_1977,1977
for his bold and ingenious revival of dramatic and scenic art,Q1403_1934,1934
"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style",Q159552_1944,1944
"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",Q160478_1979,1979
"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",Q165823_1963,1963
"for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",Q18143_2000,2000
"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty",Q19185_1925,1925
for the art of memory with which he has evoked the most ungraspable human destinies and,Q222944_2014,2014
for his authentic descriptions of present-day life in Denmark,Q225554_1917,1917
"in special appreciation of his epic, <I>Olympian Spring</I>",Q226525_1919,1919
"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style",Q23434_1954,1954
for her unmistakable poetic voice that with austere beauty makes individual existence universal,Q2344210_2020,2020
master of the contemporary short story,Q234819_2013,2013
who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures,Q241248_2006,2006
"the greatest living master of the art of historical writing, with special reference to his monumental work, A history of Rome",Q25351_1902,1902
for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,Q254032_2018,2018
"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style",Q25973_1946,1946
"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",Q272855_2017,2017
"for her polyphonic writings, a monument to suffering and courage in our time",Q274334_2015,2015
for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents.,Q317877_2021,2021
in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,Q33760_1950,1950
for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams,Q34189_1971,1971
for the ethical force with which he has pursued the indispensable traditions of Russian literature,Q34474_1970,1970
"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",Q34670_1957,1957
"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",Q34743_1907,1907
"principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature",Q37030_1929,1929
"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality",Q37060_1998,1998
"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation",Q37327_1969,1969
"for his outstanding, pioneer contribution to present-day poetry",Q37767_1948,1948
"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed",Q38049_2009,2009
for his powerful and artistically unique contribution to the modern American novel,Q38392_1949,1949
for having created new poetic expressions within the great American song tradition,Q392_2016,2016
"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",Q39212_1962,1962
"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",Q39803_2010,2010
"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation",Q40213_1923,1923
"for his monumental work, <I>Growth of the Soil</I>",Q40826_1920,1920
"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny",Q40874_2007,2007
who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms,Q41042_2005,2005
for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,Q41223_1958,1958
who in a wide cultural perspective and with poetic overtones fashions the drama of existence,Q41488_1986,1986
because of his outstanding merits as an epic writer,Q41502_1905,1905
"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization",Q42037_2008,2008
"because, through his condensed, translucent images, he gives us fresh access to reality",Q42122_2011,2011
in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented,Q42156_1927,1927
"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",Q42247_1901,1901
"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people",Q42398_1965,1965
"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",Q42443_1921,1921
for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,Q42552_1996,1996
"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist",Q42596_1904,1904
